"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","HHBROADHBAND","2INCOMEQ","PC","A","2006",48.8361358580343,
"SWE","HHBROADHBAND","2INCOMEQ","PC","A","2007",66.7593018171632,
"SWE","HHBROADHBAND","2INCOMEQ","PC","A","2008",67.5266816407053,
"SWE","HHBROADHBAND","2INCOMEQ","PC","A","2009",79.5239321667028,
"SWE","HHBROADHBAND","2INCOMEQ","PC","A","2010",85.8333082231891,
"CHL","HHBROADHBAND","1INCOMEQ","PC","A","2009",50.4413234838389,
"CZE","HHBROADHBAND","1INCOMEQ","PC","A","2008",9.59607718310065,
"CZE","HHBROADHBAND","1INCOMEQ","PC","A","2009",15.1444412603013,
"CZE","HHBROADHBAND","1INCOMEQ","PC","A","2010",22.9793382414362,
"AUT","HHBROADHBAND","1INCOMEQ","PC","A","2008",45.5310118693698,
"AUT","HHBROADHBAND","1INCOMEQ","PC","A","2009",39.1590651415249,
"EST","HHBROADHBAND","2INCOMEQ","PC","A","2008",57.4532485656691,
"EST","HHBROADHBAND","2INCOMEQ","PC","A","2009",59.3263990097626,
"EST","HHBROADHBAND","2INCOMEQ","PC","A","2010",66.4235523648391,
"JPN","HHBROADHBAND","TOT","PC","A","2002",16.6,
"JPN","HHBROADHBAND","TOT","PC","A","2003",31.1,
"JPN","HHBROADHBAND","TOT","PC","A","2004",40.4,
"JPN","HHBROADHBAND","TOT","PC","A","2005",42.1,
"JPN","HHBROADHBAND","TOT","PC","A","2006",40.7,
"JPN","HHBROADHBAND","TOT","PC","A","2007",51.7,
"JPN","HHBROADHBAND","TOT","PC","A","2008",58.5,
"JPN","HHBROADHBAND","TOT","PC","A","2009",63.4,
"JPN","HHBROADHBAND","TOT","PC","A","2010",63.4,
"LUX","HHBROADHBAND","2INCOMEQ","PC","A","2006",35.828421518858,
"LUX","HHBROADHBAND","2INCOMEQ","PC","A","2007",53.676845710954,
"LUX","HHBROADHBAND","2INCOMEQ","PC","A","2008",55.0166340204583,
"LUX","HHBROADHBAND","2INCOMEQ","PC","A","2009",58.4443157691565,
"LUX","HHBROADHBAND","2INCOMEQ","PC","A","2010",61.3170347003155,
"FRA","HHBROADHBAND","1INCOMEQ","PC","A","2006",17.9975038912015,
"EST","HHBROADHBAND","3INCOMEQ","PC","A","2008",71.3521057384451,
"EST","HHBROADHBAND","3INCOMEQ","PC","A","2009",78.8572746453007,
"EST","HHBROADHBAND","3INCOMEQ","PC","A","2010",79.0374655276787,
"LUX","HHBROADHBAND","3INCOMEQ","PC","A","2006",51.8402632173156,
"LUX","HHBROADHBAND","3INCOMEQ","PC","A","2007",63.3034935203439,
"LUX","HHBROADHBAND","3INCOMEQ","PC","A","2008",68.6097575648198,
"LUX","HHBROADHBAND","3INCOMEQ","PC","A","2009",77.6356503481048,
"LUX","HHBROADHBAND","3INCOMEQ","PC","A","2010",77.9032827391458,
"PRT","HHBROADHBAND","2INCOMEQ","PC","A","2008",23.9892579584302,
"PRT","HHBROADHBAND","2INCOMEQ","PC","A","2009",24.7611236822442,
"PRT","HHBROADHBAND","2INCOMEQ","PC","A","2010",30.4497854069448,
"AUS","HHBROADHBAND","4INCOMEQ","PC","A","2004",5.37,
"AUS","HHBROADHBAND","4INCOMEQ","PC","A","2005",9.94,
"AUS","HHBROADHBAND","4INCOMEQ","PC","A","2008",28,
"PRT","HHBROADHBAND","3INCOMEQ","PC","A","2008",50.5968181739033,
"PRT","HHBROADHBAND","3INCOMEQ","PC","A","2009",51.9756113744489,
"PRT","HHBROADHBAND","3INCOMEQ","PC","A","2010",52.2837517351596,
"NOR","HHBROADHBAND","TOT","PC","A","2003",22.8939833305977,
"NOR","HHBROADHBAND","TOT","PC","A","2004",30.0134806026233,
"NOR","HHBROADHBAND","TOT","PC","A","2005",41.4356176489513,
"NOR","HHBROADHBAND","TOT","PC","A","2006",57.0696472453586,
"NOR","HHBROADHBAND","TOT","PC","A","2007",66.7167586966374,
"NOR","HHBROADHBAND","TOT","PC","A","2008",72.976473670361,
"NOR","HHBROADHBAND","TOT","PC","A","2009",77.7683386056809,
"NOR","HHBROADHBAND","TOT","PC","A","2010",82.5727047509357,
"SVK","HHBROADHBAND","TOT","PC","A","2004",3.5518686019119,
"SVK","HHBROADHBAND","TOT","PC","A","2005",7.11642651447072,
"SVK","HHBROADHBAND","TOT","PC","A","2006",11.4169476773236,
"SVK","HHBROADHBAND","TOT","PC","A","2007",26.5023138932719,
"SVK","HHBROADHBAND","TOT","PC","A","2008",35.329986496319,
"SVK","HHBROADHBAND","TOT","PC","A","2009",41.7273755411469,
"SVK","HHBROADHBAND","TOT","PC","A","2010",49.3511819681631,
"FIN","HHBROADHBAND","3INCOMEQ","PC","A","2006",56.9668691624735,
"FIN","HHBROADHBAND","3INCOMEQ","PC","A","2007",76.577476700607,
"FIN","HHBROADHBAND","3INCOMEQ","PC","A","2008",79.63652915394,
"FIN","HHBROADHBAND","3INCOMEQ","PC","A","2009",88.8827541165957,
"FIN","HHBROADHBAND","3INCOMEQ","PC","A","2010",87.3820646039059,
"AUT","HHBROADHBAND","TOT","PC","A","2003",10.2853375470288,
"AUT","HHBROADHBAND","TOT","PC","A","2004",15.9234940848469,
"AUT","HHBROADHBAND","TOT","PC","A","2005",23.1403620208918,
"AUT","HHBROADHBAND","TOT","PC","A","2006",33.116975692562,
"AUT","HHBROADHBAND","TOT","PC","A","2007",46.14633165071,
"AUT","HHBROADHBAND","TOT","PC","A","2008",54.4968865042262,
"AUT","HHBROADHBAND","TOT","PC","A","2009",57.8027426144126,
"AUT","HHBROADHBAND","TOT","PC","A","2010",63.7001924161669,
"LUX","HHBROADHBAND","4INCOMEQ","PC","A","2006",64.2259414225941,
"LUX","HHBROADHBAND","4INCOMEQ","PC","A","2007",76.9578671744823,
"LUX","HHBROADHBAND","4INCOMEQ","PC","A","2008",79.3060441317557,
"LUX","HHBROADHBAND","4INCOMEQ","PC","A","2009",80.7782696616932,
"LUX","HHBROADHBAND","4INCOMEQ","PC","A","2010",80.775877181998,
"NOR","HHBROADHBAND","1INCOMEQ","PC","A","2005",29.8360034632157,
"NOR","HHBROADHBAND","1INCOMEQ","PC","A","2006",38.6085895590571,
"NOR","HHBROADHBAND","1INCOMEQ","PC","A","2007",50.3854536581827,
"NOR","HHBROADHBAND","1INCOMEQ","PC","A","2008",60.1978652041495,
