"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GRADRATE","UPPSRY","PC","A","2005",,"M"
"AUS","GRADRATE","UPPSRY","PC","A","2010",,"M"
"AUS","GRADRATE","UPPSRY","PC","A","2011",,"M"
"AUS","GRADRATE","UPPSRY","PC","A","2012",,"M"
"AUS","GRADRATE","UPPSRY","PC","A","2013",,"M"
"AUS","GRADRATE","UPPSRY","PC","A","2014",,"M"
"AUS","GRADRATE","UPPSRY_MEN","PC","A","2005",,"M"
"AUS","GRADRATE","UPPSRY_MEN","PC","A","2010",,"M"
"AUS","GRADRATE","UPPSRY_MEN","PC","A","2011",,"M"
"AUS","GRADRATE","UPPSRY_MEN","PC","A","2012",,"M"
"AUS","GRADRATE","UPPSRY_MEN","PC","A","2013",,"M"
"AUS","GRADRATE","UPPSRY_MEN","PC","A","2014",,"M"
"AUS","GRADRATE","UPPSRY_WOMEN","PC","A","2005",,"M"
"AUS","GRADRATE","UPPSRY_WOMEN","PC","A","2010",,"M"
"AUS","GRADRATE","UPPSRY_WOMEN","PC","A","2011",,"M"
"AUS","GRADRATE","UPPSRY_WOMEN","PC","A","2012",,"M"
"AUS","GRADRATE","UPPSRY_WOMEN","PC","A","2013",,"M"
"AUS","GRADRATE","UPPSRY_WOMEN","PC","A","2014",,"M"
"AUT","GRADRATE","UPPSRY","PC","A","2005",,"M"
"AUT","GRADRATE","UPPSRY","PC","A","2010",86.958,
"AUT","GRADRATE","UPPSRY","PC","A","2011",86.673,
"AUT","GRADRATE","UPPSRY","PC","A","2012",88.516,
"AUT","GRADRATE","UPPSRY","PC","A","2013",88.028,
"AUT","GRADRATE","UPPSRY","PC","A","2014",89.745,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2005",,"M"
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2010",85.84,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2011",86.387,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2012",88.54,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2013",87.267,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2014",89.283,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2005",,"M"
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2010",88.32,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2011",87.039,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2012",88.502,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2013",88.882,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2014",90.311,
"BEL","GRADRATE","UPPSRY","PC","A","2005",,"M"
"BEL","GRADRATE","UPPSRY","PC","A","2010",,"M"
"BEL","GRADRATE","UPPSRY","PC","A","2011",,"M"
"BEL","GRADRATE","UPPSRY","PC","A","2012",,"M"
"BEL","GRADRATE","UPPSRY","PC","A","2013",,"M"
"BEL","GRADRATE","UPPSRY","PC","A","2014",,"M"
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2005",,"M"
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2010",,"M"
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2011",,"M"
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2012",,"M"
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2013",,"M"
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2014",,"M"
"BEL","GRADRATE","UPPSRY_WOMEN","PC","A","2005",,"M"
"BEL","GRADRATE","UPPSRY_WOMEN","PC","A","2010",,"M"
"BEL","GRADRATE","UPPSRY_WOMEN","PC","A","2011",,"M"
"BEL","GRADRATE","UPPSRY_WOMEN","PC","A","2012",,"M"
"BEL","GRADRATE","UPPSRY_WOMEN","PC","A","2013",,"M"
"BEL","GRADRATE","UPPSRY_WOMEN","PC","A","2014",,"M"
"CAN","GRADRATE","UPPSRY","PC","A","2005",80.189,
